Affymetrix ID	Gene Symbol	Gene or mRNA Description	Accession	Direction	Sham Adj. P value	ADX Adj. P value
10540122	Slc6a6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	NM_009557	down	0.0001	0.03
10424370	Trib1	tribbles homolog 1 (Drosophila)	NM_009320	up	0.0001	ns
10454782	Egr1	early growth response 1	NM_144549	up	0.0002	0.001
10383993	Ccdc117	coiled-coil domain containing 117	NM_007913	up	0.0002	ns
10450367	Hspa1b	heat shock protein 1B	NM_134033	up	0.0002	0.02
10531201	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_010478	down	0.0002	ns
10517540	Zbtb40	zinc finger and BTB domain containing 40	NM_001081	up	0.0002	0.005
10541873	Mrpl51	mitochondrial ribosomal protein L51	401	up	0.0002	ns
10449741	Snf1lk	SNF1-like kinase	NM_198248	up	0.0002	ns
10543017	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	NM_025595	up	0.0002	ns
10531177	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_010831	down	0.0002	0.009
10548996	Slco1a4	solute carrier organic anion transporter family, member 1a4	401	down	0.0002	0.001
10548194	Fkbp4	FK506 binding protein 4	NM_030687	up	0.0002	0.0003
10598771	Maoa	monoamine oxidase A	NM_010219	down	0.0002	0.01
10438293	Zdhhc8	zinc finger, DHHC domain containing 8	NM_173740	down	0.0002	ns
10600114	Pnma3	paraneoplastic antigen MA3	NM_172151	down	0.0002	0.004
10465604	Stip1	stress-induced phosphoprotein 1	NM_153169	up	0.0002	0.006
10437778	Parn	poly(A)-specific ribonuclease (deadenylation nuclease)	NM_016737	down	0.0002	0.007
10573626	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	NM_028761	up	0.0002	ns
10545417	Mat2a	methionine adenosyltransferase II, alpha	NM_173866	up	0.0002	ns
10346943	Creb1	cAMP responsive element binding protein 1	NM_145569	up	0.0002	ns
10417972	Camk2g	calcium/calmodulin-dependent protein kinase II gamma	NM_133828	down	0.0002	0.02
10434675	Dnajb11	DnaJ (Hsp40) homolog, subfamily B, member 11	NM_178597	up	0.0002	0.02
10505779	Asah31	N-acylsphingosine amidohydrolase 3-like	NM_026400	up	0.0002	ns
10450006	Hnrnpm	heterogeneous nuclear ribonucleoprotein M	NM_139306	up	0.0002	ns
10547386	Adipor2	adiponectin receptor 2	NM_029804	up	0.0002	ns
10550509	Pglyrp1	peptidoglycan recognition protein 1	NM_197985	up	0.0003	ns
10494160	Tmod4	tropomodulin 4	NM_009402	up	0.0003	0.03
10467206	Ppp1r3c	protein phosphatase 1, regulatory (inhibitor) subunit 3C	NM_016712	up	0.0003	0.002
10532680	Sgsm1	small G protein signaling modulator 1	NM_172718	up	0.0003	0.0005
10352905	Cd34	CD34 antigen	NM_001111 059	down	0.0003	0.03
10496872	Eltd1	EGF, latrophilin seven transmembrane domain containing 1	NM_133222	up	0.0003	ns
10441456	Synj2	synaptojanin 2	NM_011523	up	0.0003	0.002
10553092	Dbp	D site albumin promoter binding protein	NM_016974	down	0.0003	ns
10429573	Ly6c1	lymphocyte antigen 6 complex, locus C1	NM_010741	up	0.0003	ns
10462454	Uhrf2	ubiquitin-like, containing PHD and RING finger domains 2	NM_144873	up	0.0003	ns
10577528	AI316807	expressed sequence AI316807	BC048089	down	0.0003	0.003
10475910	---	snoRNA chromosome:NCBIM37:2: 128606112: 128606235:1 gene:ENSMUSG00000064937	ENSMUST00000083003	up	0.0003	ns
10582664	2310022B05Rik	RIKEN CDNA 2310022B05 gene	BC058626	down	0.0003	ns
10544660	Osbpl3	oxysterol binding protein-like 3	NM_027881	up	0.0003	0.01
10363735	Egr2	early growth response 2	NM_010118	up	0.0003	ns
10390299	Pnpo	pyridoxine 5'-phosphate oxidase	NM_134021	down	0.0003	ns
10479672	Tcea2	transcription elongation factor A (SII), 2	NM_009326	down	0.0003	0.02
10576073	Banp	BTG3 associated nuclear protein	NM_001110 100	up	0.0003	0.0007
10544583	Gimap6	GTPase, IMAP family member 6	NM_153175	up	0.0003	ns
10586184	Tipin	timeless interacting protein	NM_025372	down	0.0003	0.02
10557399	Sbk1	SH3-binding kinase 1	NM_145587	up	0.0003	0.0004
10449487	Slc26a8	solute carrier family 26, member 8	NM_146076	down	0.0004	0.007
10577048	Ankrd10	ankyrin repeat domain 10	NM_133971	up	0.0004	0.005
10377439	Per1	period homolog 1 (Drosophila)	NM_011065	up	0.0004	ns
10475890	Mertk	c-mer proto-oncogene tyrosine kinase	NM_008587	up	0.0004	ns
10447938	Dact2	dapper homolog 2, antagonist of beta-catenin (xenopus)	NM_172826	down	0.0004	ns
10530201	Ugdh	UDP-glucose dehydrogenase	NM_009466	up	0.0004	ns
10397518	Ahsa1	AHA1, activator of heat shock protein ATPase homolog 1 (yeast)	NM_146036	up	0.0004	0.009
10600017	Hmgb3	high mobility group box 3	NM_008253	down	0.0004	0.008
10546137	Abtb1	ankyrin repeat and BTB (POZ) domain containing 1	NM_030251	down	0.0004	ns
10492428	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase	NM_178892	up	0.0004	ns
10429754	Nrbp2	nuclear receptor binding protein 2	NM_144847	down	0.0004	ns
10579219	Ddx49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49	NM_001024 922	down	0.0004	ns
10474671	Spred1	sprouty protein with EVH-1 domain 1, related sequence	NM_033524	up	0.0004	0.008
10464819	Rbm14	RNA binding motif protein 14	NM_019869	up	0.0004	0.04
10488655	Bcl211	BCL2-like 1	NM_009743	up	0.0004	ns
10585428	Dnaja4	DnaJ (Hsp40) homolog, subfamily A, member 4	NM_021422	up	0.0005	0.003
10420413	Lats2	large tumor suppressor 2	NM_015771	up	0.0005	0.02
10345074	Cetn4	centrin 4	BC087905	down	0.0005	0.02
10562548	C80913	expressed sequence C80913	NM_011274	down	0.0005	0.006
10398147	Papola	poly (A) polymerase alpha	NM_011112	up	0.0005	ns
10460591	Fibp	fibroblast growth factor (acidic) intracellular binding protein	NM_021438	down	0.0005	0.05
10378482	Mett10d	methyltransferase 10 domain containing	NM_026197	up	0.0005	0.02
10604505	6720401G13Rik	RIKEN CDNA 6720401G13 gene	BC066100	down	0.0005	ns
10470959	Phyhd1	phytanoyl-CoA dioxygenase domain containing 1	NM_172267	up	0.0005	ns
10394358	BC068281	CDNA sequence BC068281	BC068281	up	0.0005	0.02
10531183	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081	down	0.0005	ns
10587878	---	snoRNA chromosome:NCBIM37:9:95524879: 95525030:1 gene:ENSMUSG00000065346	ENSMUSTO0000083412	down	0.0005	0.02
10406672	Arsb	arylsulfatase B	NM_009712	down	0.0005	0.007
10419691	Mettl3	methyltransferase-like 3	NM_019721	up	0.0005	ns
10437399	Coro7	coronin 7	NM_030205	down	0.0005	ns
10350516	Ptgs2	prostaglandin-endoperoxide synthase 2	NM_011198	up	0.0005	ns
10469936	Nrarp	Notch-regulated ankyrin repeat protein	NM_025980	down	0.0005	ns
10399470	Trib2	tribbles homolog 2 (Drosophila)	NM_144551	up	0.0005	0.004
10569848	Stxbp2	syntaxin binding protein 2	NM_011503	down	0.0005	ns
10510574	Errfi1	ERBB receptor feedback inhibitor 1	NM_133753	up	0.0005	ns
10357043	Bcl2	B-cell leukemia/lymphoma 2	NM_009741	up	0.0005	0.03
10488029	Zfand1	zinc finger, AN1-type domain 1	NM_025512	down	0.0005	0.01
10452815	Xdh	xanthine dehydrogenase	NM_011723	up	0.0005	ns
10576971	Irs2	insulin receptor substrate 2	NM_001081	up	0.0006	0.03
10352954	Hmgb3	high mobility group box 3	ENSMUSTO0000072699	down	0.0006	0.004
10557816	Bckdk	branched chain ketoacid dehydrogenase kinase	NM_009739	down	0.0006	0.04
10490872	Lrrcc1	leucine rich repeat and coiled-coil domain containing 1	NM_028915	down	0.0006	0.002
10413559	Rft1	RFT1 homolog (S. cerevisiae)	NM_177815	down	0.0006	ns
10395129	Tmem18	transmembrane protein 18	NM_172049	down	0.0006	0.02
10358658	Hmcn1	hemicentin 1	NM_001024	down	0.0006	ns
10520842	Bre	brain and reproductive organ-expressed protein	NM_181279	down	0.0006	0.01
10588927	1700102P08Rik	RIKEN CDNA 1700102P08 gene	BC061048	up	0.0006	0.01
10449018	Haghl	hydroxyacylglutathione hydrolase-like	NM_026897	down	0.0006	ns
10445992	Shd	src homology 2 domain-containing transforming protein D	NM_009168	down	0.0006	ns
10531187	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081	down	0.0006	0.004
10355464	Pecr	peroxisomal trans-2-enoyl-CoA reductase	NM_023523	down	0.0006	ns
10497689	Gnb4	guanine nucleotide binding protein (G protein), beta 4	NM_013531	down	0.0006	0.02
10352110	EG545391	predicted gene, EG545391	BC147679	down	0.0006	0.01
10350758	ENSMUSG00000066798	predicted gene, ENSMUSG00000066798	AK080751	up	0.0007	ns
10368484	ENSMUSG00000056316	predicted gene, ENSMUSG00000056316	ENSMUST00000070359	down	0.0007	0.008
10473690	Fnbp4	formin binding protein 4	NM_018828	down	0.0007	ns
10400157	Nova1	neuro-oncological ventral antigen 1	ENSMUST00000021438	down	0.0007	ns
10399725	Sox11	SRY-box containing gene 11	NM_009234	up	0.0007	ns
10417561	BC055107	CDNA sequence BC055107	NM_183187	up	0.0007	ns
10406364	2210408121Rik	RIKEN CDNA 2210408121 gene	BC157949	down	0.0007	0.01
10544150	Jhdm1d	jumonji C domain-containing histone demethylase 1 homolog D (S. cerevisiae)	NM_001033430	up	0.0007	ns
10500042	Zfp687	zinc finger protein 687	NM_030074	down	0.0007	0.02
10475335	Pdia3	protein disulfide isomerase associated 3	NM_007952	up	0.0007	0.03
10551736	Ppp1r14a	protein phosphatase 1, regulatory (inhibitor) subunit 14A	NM_026731	down	0.0007	ns
10447190	Plekhh2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	NM_177606	up	0.0007	ns
10409629	EG627648	predicted gene, EG627648	ENSMUST00000091583	up	0.0007	0.007
10350506	B830045N13Rik	RIKEN CDNA B830045N13 gene	NM_153539	down	0.0007	0.04
10390691	Nr1d1	nuclear receptor subfamily 1, group D, member 1	NM_145434	down	0.0007	ns
10405001	Bicd2	bicaudal D homolog 2 (Drosophila)	NM_001039179	up	0.0007	ns
10406614	LOC238771	similar to Metaxin 1	AK090249	down	0.0007	0.006
10585214	Cryab	crystallin, alpha B	NM_009964	up	0.0008	0.007
10411532	Mccc2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	NM_030026	down	0.0008	0.02
10505954	Tek	endothelial-specific receptor tyrosine kinase	NM_013690	down	0.0008	ns
10475199	Snap23	synaptosomal-associated protein 23	NM_009222	up	0.0008	ns
10400866	Trim9	tripartite motif-containing 9	NM_053167	up	0.0008	0.02
10442968	Rgs11	regulator of G-protein signaling 11	NM_001081069	down	0.0008	ns
10468802	D19Ertd737e	DNA segment, Chr 19, ERATO Doi 737, expressed	BC061459	down	0.0008	ns
10429568	Ly6c1	lymphocyte antigen 6 complex, locus C1	NM_010741	up	0.0008	ns
10438460	Parl	presenilin associated, rhomboid-like	NM_001005767	down	0.0008	0.04
10420216	2310014G06Rik	RIKEN CDNA 2310014G06 gene	NM_001082975	down	0.0008	ns
10583732	Ldlr	low density lipoprotein receptor	NM_010700	down	0.0008	ns
10358619	Hmcn1	hemicentin 1	NM_001024720	down	0.0008	ns
10379044	Rab34	RAB34, member of RAS oncogene family	NM_033475	down	0.0008	ns
10567725	Zkscan2	zinc finger with KRAB and SCAN domains 2	NM_001081	down	0.0008	0.001
10376216	Slc36a1	solute carrier family 36 (proton/amino acid symporter), member 1	NM_153139	up	0.0008	0.03
10426891	Mettl7a1	methyltransferase like 7A1	NM_027334	up	0.0009	ns
10428796	Fbxo32	F-box protein 32	NM_026346	down	0.0009	ns
10585068	D930028F11Rik	RIKEN cDNA D930028F11 gene	BC094249	down	0.0009	0.02
10591763	Zfp810	zinc finger protein 810	NM_145612	down	0.0009	ns
10478854	Slc9a8	solute carrier family 9 (sodium/hydrogen exchanger), member 8	NM_148929	down	0.0009	0.01
10497300	Zfand1	zinc finger, AN1-type domain 1	NM_025512	down	0.0009	0.009
10521391	Acox3	acyl-Coenzyme A oxidase 3, pristanoyl	NM_030721	down	0.0009	0.01
10508089	Mrps15	mitochondrial ribosomal protein S15	NM_025544	down	0.0009	ns
10584674	Mcam	melanoma cell adhesion molecule	NM_023061	down	0.0009	ns
10556242	---	snoRNA chromosome:NCBIM37:7:117166724: 117166856:1 gene:ENSMUSG00000064600	ENSMUST00000082666	up	0.0009	ns
10584576	Hspa8	heat shock protein 8	M13967	up	0.0009	0.009
10517948	Spen	SPEN homolog, transcriptional regulator (Drosophila)	NM_019763	up	0.0009	0.04
10504849	Stx17	syntaxin 17	NM_026343	down	0.0009	0.004
10436941	Mrps6	mitochondrial ribosomal protein S6	NM_080456	up	0.0009	0.03
10556581	ENSMUSG00000073861	predicted gene, ENSMUSG00000073861	ENSMUST00000098096	up	0.0009	ns
10382271	Arsg	arylsulfatase G	NM_028710	down	0.0009	0.03
10531179	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081	down	0.0009	0.01
10472598	Klhl23	kelch-like 23 (Drosophila)	NM_177784	down	0.0009	0.04
10456046	Pdgfrb	platelet derived growth factor receptor, beta polypeptide	NM_008809	down	0.0009	ns
10387525	Mpdu1	mannose-P-dolichol utilization defect 1	NM_011900	down	0.001	ns
10354816	Clk1	CDC-like kinase 1	NM_001042	up	0.001	ns
10378857	Coro6	coronin, actin binding protein 6	NM_139128	down	0.001	ns
10379840	Myo19	myosin XIX	BC007156	up	0.001	0.004
10584578	Hspa8	heat shock protein 8	M13967	up	0.001	0.008
10476759	Rin2	Ras and Rab interactor 2	NM_028724	up	0.001	ns
10585206	Pih1d2	PIH1 domain containing 2	NM_028300	down	0.001	ns
10503334	Gem	GTP binding protein (gene overexpressed in skeletal muscle)	NM_010276	up	0.001	ns
10419854	Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	NM_016972	down	0.001	0.01
10562576	Plekhf1	pleckstrin homology domain containing, family F (with FYVE domain) member 1	NM_024413	up	0.001	ns
10416251	Egr3	early growth response 3	NM_018781	up	0.001	0.0002
10375240	Hspd1	heat shock protein 1 (chaperonin)	NM_010477	up	0.001	ns
